ID,Year,Country,CBMAC,CBMMC,CBCAC,CBCMC,CBSTAC,GDP,Inflation,Interest,Exc,Unem,GDP1,Inflation1,Interest1,Exc1,Unem1,GDP2,Inflation2,Interest2,Exc2,Unem2,,,,,,,,
1,2019,Austria,1,0,0,0,1,398521.9,1.5,0.06,1,3.1,-0.683845,0.38553096,0.488906868,-0.235714,-0.72232679,0.114291063,0.4025974,0.013626374,0.000844676,0.10126582,,,,,,,,
2,2019,Belgium,1,4,0,1,1,473638.90,1.2,0.19,1,4.6,-0.6835499,0.75297249,0.602177238,-0.235714,-0.78955606,0.110555455,0.48051948,0.041318681,0.000844676,0.11392405,,,,,,,,
3,2019,Bulgaria,0,0,0,0,0,45420.54,2.5,0.43,1.9558,2.7,-0.6831393,1.26739063,0.466252794,-0.235714,-0.78955606,0.106059865,0.49350649,0.036483516,0.000844676,0.13924051,,,,,,,,
4,2019,Croatia,0,0,0,0,0,45877.94,0.8,1.29,7.418,7.9,-0.6825395,-0.3493521,0.175525509,-0.235714,-0.75594142,0.102269987,0.33766234,0.027692308,0.000844676,0.16455696,,,,,,,,
5,2019,Cyprus,0,0,0,2,0,19103.84,0.5,1.07,1,4.9,-0.6814624,-0.49632871,-0.107650418,-0.235714,-0.82317069,0.098470077,0.31168831,0.043956044,0.000844676,0.14556962,,,,,,,,
6,2019,Czech Republic,1,0,0,0,52,171192.23,2.6,1.55,25.67,3.4,-0.6800628,-0.20237549,-0.530526468,-0.235714,-0.89039996,0.095226397,0.4025974,0.076483516,0.000844676,0.14556962,,,,,,,,
7,2019,Denmark,8,3,0,0,0,310575.50,0.7,-0.18,7.4661,4.6,-0.679175,-0.42284041,-0.757067209,-0.235714,-0.99124387,0.092533056,0.48051948,0.099340659,0.000844676,0.13291139,,,,,,,,
8,2019,Finland,1,1,0,0,0,209722.78,1.1,0.07,1,5.5,-0.6779942,-0.12888718,-0.609815727,-0.235714,-1.1257024,0.090999969,0.44155844,0.115164835,0.000844676,0.10759494,,,,,,,,
9,2019,France,2,1,1,0,0,2418997.00,1.3,0.13,1,5.2,-0.6766431,0.16506604,-0.568283258,-0.235714,-1.15931704,0.088514142,0.67532468,0.156923077,0.000844676,0.09493671,,,,,,,,
10,2019,Germany,18,5,5,25,33,3435760.00,1.4,-0.25,1,3.4,-0.6755913,0.01808943,-0.840132148,-0.235714,-0.89039996,0.084363826,0.42857143,0.152967033,0.000844676,0.10759494,,,,,,,,
11,2019,Greece,0,0,0,0,0,189139.17,0.5,2.59,1,13.1,-0.6703461,-1.30470008,1.172304771,-0.235714,1.73154155,0.136196425,0.36363636,0.019340659,0.000844676,0.19620253,,,,,,,,
12,2019,Hungary,0,0,0,0,0,143826.40,3.4,2.47,325.3,4.5,-0.6698235,-2.18655975,0.621055633,-0.235714,1.39539521,0.132166546,0.50649351,0.045714286,0.000844676,0.13291139,,,,,,,,
13,2019,Ireland,1,2,0,0,3,227093.39,0.9,0.33,1,3.3,-0.6696136,-0.79028194,1.361088722,-0.235714,1.63069765,0.128242875,0.49350649,0.042637363,0.000844676,0.17088608,,,,,,,,
14,2019,Italy,0,0,0,0,0,1787664.10,0.6,1.95,1,6.1,-0.6685172,-1.96609483,0.330328349,-0.235714,0.92479032,0.123579109,0.44155844,0.032087912,0.000844676,0.20253165,,,,,,,,
15,2019,Lithuania,0,0,0,0,0,48339.20,2.2,0.31,1,6.7,-0.6682288,-0.71679363,-0.689104987,-0.235714,-0.31895117,0.119592507,0.28571429,0.047912088,0.000844676,0.2278481,,,,,,,,
16,2019,Luxembourg,13,8,29,7,5,49730.99,1.6,-0.12,1,3.7,-0.6678465,0.82646079,0.643709708,-0.235714,-0.52063898,0.115597914,0.27272727,0.086153846,0.000844676,0.2278481,,,,,,,,
